Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"TS16011","DB111.X14.0",Boolean,1,RO,15000,,,,,,,,,,"",
"TS16111","DB111.X14.2",Boolean,1,RO,15000,,,,,,,,,,"",
"TS16211","DB111.X14.3",Boolean,1,RO,15000,,,,,,,,,,"",
"TS26011","DB111.X14.1",Boolean,1,RO,15000,,,,,,,,,,"",
"UI18021","DB113.D120",Float,1,RO,15000,,,,,,,,,,"",
"UI28021","DB113.D124",Float,1,RO,15000,,,,,,,,,,"",
"VA02311_Open","DB4.X17.5",Boolean,1,RO,15000,,,,,,,,,,"",
"VA09711_Open","DB4.X17.4",Boolean,1,RO,15000,,,,,,,,,,"",
"VA11011_Open","DB112.X5.4",Boolean,1,RO,15000,,,,,,,,,,"",
"VA11021_Open","DB112.X5.5",Boolean,1,RO,15000,,,,,,,,,,"",
"VA12011_Open","DB112.X3.1",Boolean,1,RO,15000,,,,,,,,,,"",
"VA13011_Open","DB112.X3.2",Boolean,1,RO,15000,,,,,,,,,,"",
"VA13081_Open","DB112.X3.6",Boolean,1,RO,15000,,,,,,,,,,"",
"VA13111_Open","DB112.X3.3",Boolean,1,RO,15000,,,,,,,,,,"",
"VA13121_Open","DB112.X3.5",Boolean,1,RO,15000,,,,,,,,,,"",
"VA13151_Open","DB112.X3.4",Boolean,1,RO,15000,,,,,,,,,,"",
"VA13161_Open","DB112.X3.7",Boolean,1,RO,15000,,,,,,,,,,"",
"VA13811_Open","DB112.X4.0",Boolean,1,RO,15000,,,,,,,,,,"",
"VA16921_Open","DB112.X4.1",Boolean,1,RO,15000,,,,,,,,,,"",
"VA17011_Open","DB112.X4.2",Boolean,1,RO,15000,,,,,,,,,,"",
"VA17021_Open","DB112.X4.3",Boolean,1,RO,15000,,,,,,,,,,"",
"VA17031_Open","DB112.X4.4",Boolean,1,RO,15000,,,,,,,,,,"",
"VA18011_Open","DB112.X4.5",Boolean,1,RO,15000,,,,,,,,,,"",
"VA18021_Open","DB112.X4.6",Boolean,1,RO,15000,,,,,,,,,,"",
"VA19411_Open","DB112.X5.6",Boolean,1,RO,15000,,,,,,,,,,"",
"VA19412_Open","DB112.X5.7",Boolean,1,RO,15000,,,,,,,,,,"",
"VA21011_Open","DB112.X4.7",Boolean,1,RO,15000,,,,,,,,,,"",
"VA26921_Open","DB112.X5.0",Boolean,1,RO,15000,,,,,,,,,,"",
"VA27011_Open","DB112.X5.1",Boolean,1,RO,15000,,,,,,,,,,"",
"VA28011_Open","DB112.X5.2",Boolean,1,RO,15000,,,,,,,,,,"",
"VA28021_Open","DB112.X5.3",Boolean,1,RO,15000,,,,,,,,,,"",
"VS16911_Close","DB111.X11.1",Boolean,1,RO,15000,,,,,,,,,,"",
"VS16911_Open","DB111.X11.0",Boolean,1,RO,15000,,,,,,,,,,"",
"VS26911_Close","DB111.X11.3",Boolean,1,RO,15000,,,,,,,,,,"",
"VS26911_Open","DB111.X11.2",Boolean,1,RO,15000,,,,,,,,,,"",
"water_rinse_Active","DB120.X11.7",Boolean,1,RO,15000,,,,,,,,,,"",
"YI02221_tank","DB113.D76",Float,1,RO,15000,,,,,,,,,,"",
"YI02321_tank","DB113.D80",Float,1,RO,15000,,,,,,,,,,"",
"YI09721_tank","DB113.D84",Float,1,RO,15000,,,,,,,,,,"",
"YI17021","DB113.D68",Float,1,RO,15000,,,,,,,,,,"",
